Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Samuel Moreira,PSDB      ,SP,Sim            ,178990,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Jerônimo Goergen,PP        ,RS,Sim            ,160570,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Ricardo Izar,PSD       ,SP,Sim            ,160655,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Andres Sanchez,PT        ,SP,Sim            ,178974,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Max Filho,PSDB      ,ES,Sim            ,178827,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Laudivio Carvalho,PMDB      ,MG,Sim            ,178894,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Caetano,PT        ,BA,Sim            ,178853,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Arnaldo Faria de Sá,PTB       ,SP,Sim            ,73434,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Ronaldo Fonseca,PROS      ,DF,Sim            ,160637,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Washington Reis,PMDB      ,RJ,Sim            ,160620,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Cesar Souza,PSD       ,SC,Sim            ,73720,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Flavinho,PSB       ,SP,Sim            ,178978,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Reginaldo Lopes,PT        ,MG,Sim            ,74161,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Aníbal Gomes,PMDB      ,CE,Sim            ,74212,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Delegado Éder Mauro,PSD       ,PA,Sim            ,178908,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Leopoldo Meyer,PSB       ,PR,Sim            ,160663,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Jorge Boeira,PP        ,SC,Sim            ,74388,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,José Airton Cirilo,PT        ,CE,Sim            ,141464,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Joaquim Passarinho,PSD       ,PA,Sim            ,178910,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Zé Silva,Solidaried,MG,Sim            ,160632,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Leo de Brito,PT        ,AC,Sim            ,178825,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Victor Mendes,PV        ,MA,Sim            ,178888,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Edmar Arruda,PSC       ,PR,Sim            ,160578,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Manoel Junior,PMDB      ,PB,Sim            ,141490,-,-
