Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Izalci,PSDB      ,DF,Sim            ,4931,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Henrique Fontana,PT        ,RS,Não            ,73482,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Josi Nunes,PMDB      ,TO,Sim            ,114941,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Eduardo Cury,PSDB      ,SP,Sim            ,178977,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Átila Lira,PSB       ,PI,Não            ,74459,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Luciana Santos,PCdoB     ,PE,Não            ,160628,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Eduardo Cunha,PMDB      ,RJ,Art. 17        ,74173,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Evair de Melo,PV        ,ES,Sim            ,178871,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Bacelar,PTN       ,BA,Não            ,69871,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Pedro Cunha Lima,PSDB      ,PB,Sim            ,178912,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Roberto Sales,PRB       ,RJ,Sim            ,178944,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Angelim,PT        ,AC,Abstenção      ,178837,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Caio Narcio,PSDB      ,MG,Sim            ,178891,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Nelson Meurer,PP        ,PR,Sim            ,73781,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Waldenor Pereira,PT        ,BA,Não            ,160569,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Raimundo Gomes de Matos,PSDB      ,CE,Sim            ,74216,-,-
