id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer
178963,Covatti Filho,pp,RS,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,0,1,0,0,1,1,0
73768,Dilceu Sperafico,pp,PR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
160599,Dimas Fabiano,pp,MG,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
141421,Eduardo da Fonte,pp,PE,-1,0,1,-1,-1,-1,1,0,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,0
160649,Esperidião Amin,pp,SC,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,-1,0,1,1,1
178904,Ezequiel Fonseca,pp,MT,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
66828,Fausto Pinato,pp,SP,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,-1,0,1,1,0
92699,Fernando Monteiro,pp,PE,1,1,-1,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,0
186775,Franklin Lima,pp,MG,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,-1,1,0
160667,Guilherme Mussi,pp,SP,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,0
178959,Hiran Gonçalves,pp,RR,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,-1,0,0,1,0
67138,Iracema Portella,pp,PI,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0
160570,Jerônimo Goergen,pp,RS,1,-1,1,0,1,1,1,1,1,1,0,1,0,-1,1,1,1,1,0,-1,1,1,1
